BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS,OFFER,RETAILER,cleaned_offer,cleaned_retailer,cleaned_brand,cleaned_brand_category,cleaned_data
DR PEPPER,Carbonated Soft Drinks,77880,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,dr pepper regular zero sugar strawberri cream pack select retail,unit supermarket,dr pepper,carbon soft drink,dr pepper regular zero sugar strawberri cream pack select retail unit supermarket dr pepper regular zero sugar strawberri cream pack select retail carbon soft drink
DR PEPPER,Cooking & Baking,10983,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,dr pepper regular zero sugar strawberri cream pack select retail,unit supermarket,dr pepper,cook bake,dr pepper regular zero sugar strawberri cream pack select retail unit supermarket dr pepper regular zero sugar strawberri cream pack select retail cook bake
MOUNTAIN DEW,Carbonated Soft Drinks,68610,"MTN DEW® Kickstart, 16-ounce 12 count, select varieties, at Amazon Storefront*",AMAZON,mtn dew kickstart ounc count select varieti amazon storefront,amazon,mountain dew,carbon soft drink,mtn dew kickstart ounc count select varieti amazon storefront amazon mtn dew kickstart ounc count select varieti amazon storefront carbon soft drink
PEPSI,Carbonated Soft Drinks,53604,"PepsiCo® Beverage, 7.5-ounce 10 pack, select varieties, at Amazon Storefront*",AMAZON,pepsico beverag ounc pack select varieti amazon storefront,amazon,pepsi,carbon soft drink,pepsico beverag ounc pack select varieti amazon storefront amazon pepsico beverag ounc pack select varieti amazon storefront carbon soft drink
PEPSI,Carbonated Soft Drinks,53604,"PepsiCo® Variety Pack, select varieties, at Amazon Storefront*",AMAZON,pepsico varieti pack select varieti amazon storefront,amazon,pepsi,carbon soft drink,pepsico varieti pack select varieti amazon storefront amazon pepsico varieti pack select varieti amazon storefront carbon soft drink
CVS,Medicines & Treatments,39210,Spend $10 at CVS,CVS,spend cv,cv,cv,medicin treatment,spend cv cv spend cv medicin treatment
CVS,Medicines & Treatments,39210,Spend $30 at CVS,CVS,spend cv,cv,cv,medicin treatment,spend cv cv spend cv medicin treatment
CVS,Fruit Juices,75,Spend $10 at CVS,CVS,spend cv,cv,cv,fruit juic,spend cv cv spend cv fruit juic
CVS,Fruit Juices,75,Spend $30 at CVS,CVS,spend cv,cv,cv,fruit juic,spend cv cv spend cv fruit juic
CVS,Cooking & Baking,45,Spend $10 at CVS,CVS,spend cv,cv,cv,cook bake,spend cv cv spend cv cook bake
